    124 | twitter  | earthquake | luiwar93               |    91 | please pray for the victims from the earthquake in guatemala.                                                                               
    125 | twitter  | earthquake | GatheringTribes        |  1021 | rt @michelle9647: guatemala earthquake: at least 48 dead http://t.co/eo8yzpwv l @jalpalyul                                                  
    126 | twitter  | earthquake | caseybrains            |    33 | rt @jimgaffigan: nyc had a hurricane last week.  a blizzard this week.  not looking forward to next week's earthquake.                      
    127 | twitter  | earthquake | ke2mesr                |   192 | rt @michelle9647: guatemala earthquake: at least 48 dead http://t.co/eo8yzpwv l @jalpalyul                                                  
    128 | twitter  | earthquake | snehal_xoxo            |   417 | rt @_mikeyfuckso: hurricane a week ago, earthquake 2 days ago, and a snow storm now? i think nj needs a break.                              
    129 | twitter  | earthquake | elliebamn              |   209 | we are so next, canada got hit by an earthquake ))):                                                                                        
    130 | twitter  | earthquake | Zetterbeauty           |   785 | @edemerling 7.5 earthquake.                                                                                                                 
    131 | twitter  | earthquake | QuakeBuddy             |   205 | m6.3 #earthquake has struck off the west coast of #vancouver island on nov 7 at 18:01 pst. there is no word yet of any injuries or damage.  
    132 | twitter  | earthquake | 411Mexico              |   379 | mexico news a strong earthquake off the coast of guatemala killed at least 48 people and trapped others... http://t.co/tutx1mlx mex info    
    133 | twitter  | terremot | saludlatina            |    25 | #terremoto en #guatemala deja mas de 78 #muertos http://t.co/r1xjd2sn                                                                       
    134 | twitter  | earthquake | YoitzCelo              |   301 | my prayers go out to my country of guatemala... they got hit with a 7.4 earthquake. #prayforguatemala                                       
    135 | twitter  | earthquake | Phatum411              |    26 | rt @caitlinnn_8: i hope my parents are okay :( #earthquake #guatemala                                                                       
    136 | twitter  | earthquake | tertius_lydgate        |   130 | rt @bbcbreaking: update: #guatemala's president molina says at least 48 people killed by #earthquake http://t.co/bcznywzf                   
    137 | twitter  | earthquake | ArjunSinghJam          |     0 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
    138 | twitter  | earthquake | HighCoreSeo            |   330 | strong earthquake off guatemala kills at least 48: a strong earthquake off the coast of guatemala killed at leas... http://t.co/fb4wromb    
    139 | twitter  | earthquake | StephenOlivarez        |    43 | am i trippin or was there just an earthquake in the la area?                                                                                
    140 | twitter  | earthquake | VitaAppasionata        |   191 | rt @ctvbc: breaking: a 6.3 magnitude earthquake hit off the west coast of vancouver island just after 6 p.m.wednesday, the us geological ...
    141 | twitter  | terremot | MichaelDCC             |  2213 | otto p\xe9rez eleva a 48 el n\xfamero de muertos por el terremoto en ... - el http://t.co/7wlposv3 (espa\xf1a) http://t.co/cldkvkdk         
    142 | twitter  | earthquake | SandeepDreamIAS        |   413 | itoday 7.4-magnitude earthquake hits guatemala, at least 48 dead: the quake caused terror over an unusually wide... http://t.co/ets2zbm0    
    143 | twitter  | earthquake | velezcollege           |   589 | rt @usgsted: powerful earthquake,vancouver island, canada region,nov-8 02:01 utc,0 #quake tweets/min, http://t.co/j5upnjtb                  
    144 | twitter  | earthquake | Newsgirly              |   689 | \u201c@shakingearth: earthquake ! mb 5.1 south indian ocean http://t.co/uanhalf3\u201d                                                      
    145 | twitter  | earthquake | sylver9o               |    94 | rt @globalbc: 6.3 magnitude #earthquake off #vancouver island - http://t.co/bjgqn55d                                                        
    146 | twitter  | earthquake | jlcoqui                |   404 | rt @newearthquake: 4.5 earthquake, 81km sw of ocos, guatemala. nov 7 20:26 at epicenter (39m ago, depth 35km). http://t.co/iyjwcjht         
    147 | twitter  | earthquake | Envy_meBxoxo           |   274 | wat if a earthquake happen................... idk where that came from ..                                                                   
